{'t': 3, 'r': 32003, 'level': 2, 'vol': 1048576, 'nodes': 106.66666666666667, 'pts': 32.833333333333336, 'expected': 32.764928287973, 'nodes_per_expected': 3.255513509114584, 'bound': 41.56921938165305, 'shape_ok': 6, 'shape_reps': 6, 'worst_ratio': 0.464186839260927}
{'t': 3, 'r': 250007, 'level': 2, 'vol': 1048576, 'nodes': 19.333333333333332, 'pts': 5.333333333333333, 'expected': 4.194186562776243, 'nodes_per_expected': 4.609554926554361, 'bound': 41.56921938165305, 'shape_ok': 5, 'shape_reps': 6, 'worst_ratio': 1.096648925680592}
{'t': 3, 'r': 1000003, 'level': 2, 'vol': 1048576, 'nodes': 7.5, 'pts': 1.1666666666666667, 'expected': 1.0485728542814372, 'nodes_per_expected': 7.152578830718994, 'bound': 41.56921938165305, 'shape_ok': 5, 'shape_reps': 6, 'worst_ratio': 1.023608566879611}
{'t': 4, 'r': 4001, 'level': 2, 'vol': 1280000, 'nodes': 1203.0, 'pts': 321.0, 'expected': 319.92001999500127, 'nodes_per_expected': 3.76031484375, 'bound': 41.56921938165305, 'shape_ok': 6, 'shape_reps': 6, 'worst_ratio': 0.4835173302435703}
{'t': 4, 'r': 32003, 'level': 2, 'vol': 1280000, 'nodes': 206.5, 'pts': 39.833333333333336, 'expected': 39.99625035152955, 'nodes_per_expected': 5.162983984375, 'bound': 41.56921938165305, 'shape_ok': 5, 'shape_reps': 6, 'worst_ratio': 1.2469808466621075}
{'t': 4, 'r': 250007, 'level': 3, 'vol': 1280000, 'nodes': 41.666666666666664, 'pts': 6.166666666666667, 'expected': 5.119856644013968, 'nodes_per_expected': 8.138248697916666, 'bound': 256.0, 'shape_ok': 6, 'shape_reps': 6, 'worst_ratio': 0.8094993376080619}
{'t': 4, 'r': 1000003, 'level': 3, 'vol': 1280000, 'nodes': 17.0, 'pts': 1.8333333333333333, 'expected': 1.27999616001152, 'nodes_per_expected': 13.28128984375, 'bound': 256.0, 'shape_ok': 5, 'shape_reps': 6, 'worst_ratio': 1.2224657399370447}
{'t': 5, 'r': 509, 'level': 2, 'vol': 1600000, 'nodes': 11230.333333333334, 'pts': 3159.0, 'expected': 3143.418467583497, 'nodes_per_expected': 3.5726497916666666, 'bound': 41.56921938165305, 'shape_ok': 6, 'shape_reps': 6, 'worst_ratio': 0.7649164067428718}
{'t': 5, 'r': 4001, 'level': 2, 'vol': 1600000, 'nodes': 1896.5, 'pts': 401.0, 'expected': 399.9000249937516, 'nodes_per_expected': 4.7424353125, 'bound': 41.56921938165305, 'shape_ok': 4, 'shape_reps': 6, 'worst_ratio': 2.3035375266247673}
{'t': 5, 'r': 32003, 'level': 3, 'vol': 1600000, 'nodes': 436.0, 'pts': 49.0, 'expected': 49.99531293941193, 'nodes_per_expected': 8.720817499999999, 'bound': 256.0, 'shape_ok': 6, 'shape_reps': 6, 'worst_ratio': 0.7637847432322531}
{'t': 5, 'r': 250007, 'level': 4, 'vol': 1600000, 'nodes': 108.16666666666667, 'pts': 6.333333333333333, 'expected': 6.39982080501746, 'nodes_per_expected': 16.901514895833333, 'bound': 1788.8543819998322, 'shape_ok': 6, 'shape_reps': 6, 'worst_ratio': 0.4006246984319084}
{'t': 5, 'r': 1000003, 'level': 4, 'vol': 1600000, 'nodes': 38.666666666666664, 'pts': 3.0, 'expected': 1.5999952000144, 'nodes_per_expected': 24.166739166666666, 'bound': 1788.8543819998322, 'shape_ok': 6, 'shape_reps': 6, 'worst_ratio': 0.8783312342773988}
{'t': 6, 'r': 509, 'level': 2, 'vol': 1492992, 'nodes': 14107.833333333334, 'pts': 2924.8333333333335, 'expected': 2933.186640471513, 'nodes_per_expected': 4.809729165773605, 'bound': 41.56921938165305, 'shape_ok': 6, 'shape_reps': 6, 'worst_ratio': 0.6807831072611725}
{'t': 6, 'r': 4001, 'level': 3, 'vol': 1492992, 'nodes': 3426.6666666666665, 'pts': 376.1666666666667, 'expected': 373.1547113221695, 'nodes_per_expected': 9.182965034865111, 'bound': 256.0, 'shape_ok': 6, 'shape_reps': 6, 'worst_ratio': 0.43426883328108334}
{'t': 6, 'r': 32003, 'level': 4, 'vol': 1492992, 'nodes': 704.0, 'pts': 49.833333333333336, 'expected': 46.65162641002406, 'nodes_per_expected': 15.090577846364884, 'bound': 1788.8543819998322, 'shape_ok': 6, 'shape_reps': 6, 'worst_ratio': 0.48454257238721077}
{'t': 6, 'r': 250007, 'level': 5, 'vol': 1492992, 'nodes': 202.33333333333334, 'pts': 6.166666666666667, 'expected': 5.971800789577892, 'nodes_per_expected': 33.881460628500804, 'bound': 13823.999999999993, 'shape_ok': 6, 'shape_reps': 6, 'worst_ratio': 0.4037226465888488}
{'t': 6, 'r': 1000003, 'level': 5, 'vol': 1492992, 'nodes': 73.0, 'pts': 3.3333333333333335, 'expected': 1.4929875210374368, 'nodes_per_expected': 48.895251280649866, 'bound': 13823.999999999993, 'shape_ok': 6, 'shape_reps': 6, 'worst_ratio': 0.7980251671469007}
