{'t': 3, 'side': 64, 'vol': 1048576, 'r': 7, 'level': 0, 'pts': 149797.25, 'expected': 149796.57142857142, 'slices': 8192.0, 'nodes': 0.0, 'recall': 0.999879837580463, 't_line': 0.02415623949491419, 't_plane': 0.13338469748850912, 't_ntv': 0.2820656977419276, 't_fib': 0.028477323008701205, 'w_line': 8192, 'w_plane': 64, 'w_fib': 8192}
{'t': 3, 'side': 64, 'vol': 1048576, 'r': 61, 'level': 0, 'pts': 17191.0, 'expected': 17189.77049180328, 'slices': 8192.0, 'nodes': 0.0, 'recall': 0.8723314525042173, 't_line': 0.00403253102558665, 't_plane': 0.016737375262891874, 't_ntv': 0.06353326048702002, 't_fib': 0.0058827392058447, 'w_line': 8192, 'w_plane': 64, 'w_fib': 8192}
{'t': 3, 'side': 64, 'vol': 1048576, 'r': 509, 'level': 1, 'pts': 2061.5, 'expected': 2060.0707269155205, 'slices': 64.0, 'nodes': 0.0, 'recall': 0.516250303177298, 't_line': 0.0019313852244522423, 't_plane': 0.002465697965817526, 't_ntv': 0.0094313544977922, 't_fib': 0.0024922395241446793, 'w_line': 8192, 'w_plane': 64, 'w_fib': 64}
{'t': 3, 'side': 64, 'vol': 1048576, 'r': 4001, 'level': 1, 'pts': 263.0, 'expected': 262.07848037990505, 'slices': 64.0, 'nodes': 0.0, 'recall': 0.8317490494296578, 't_line': 0.001693208236247301, 't_plane': 0.0005991662619635463, 't_ntv': 0.003244156512664631, 't_fib': 0.00065584373078309, 'w_line': 8192, 'w_plane': 64, 'w_fib': 64}
{'t': 3, 'side': 64, 'vol': 1048576, 'r': 32003, 'level': 2, 'pts': 37.75, 'expected': 32.764928287973, 'slices': 1.0, 'nodes': 113.75, 'recall': 0.7152317880794702, 't_line': 0.001649979269132018, 't_plane': 0.0003728437586687505, 't_ntv': 0.0009270420123357326, 't_fib': 7.145825657062232e-05, 'w_line': 8192, 'w_plane': 64, 'w_fib': 1}
{'t': 3, 'side': 64, 'vol': 1048576, 'r': 250007, 'level': 2, 'pts': 4.0, 'expected': 4.194186562776243, 'slices': 1.0, 'nodes': 21.0, 'recall': 1.0, 't_line': 0.0016707290196791291, 't_plane': 0.0003370207850821316, 't_ntv': 0.000412292021792382, 't_fib': 1.8489517970010638e-05, 'w_line': 8192, 'w_plane': 64, 'w_fib': 1}
{'t': 3, 'side': 64, 'vol': 1048576, 'r': 1000003, 'level': 2, 'pts': 2.0, 'expected': 1.0485728542814372, 'slices': 1.0, 'nodes': 7.5, 'recall': 1.0, 't_line': 0.0016508747648913413, 't_plane': 0.0002706875093281269, 't_ntv': 0.00033576047280803323, 't_fib': 1.015627640299499e-05, 'w_line': 8192, 'w_plane': 64, 'w_fib': 1}
{'t': 4, 'side': 20, 'vol': 1280000, 'r': 7, 'level': 0, 'pts': 182857.25, 'expected': 182857.14285714287, 'slices': 32000.0, 'nodes': 0.0, 'recall': 1.0, 't_line': 0.03837552075856365, 't_plane': 0.17541212475043721, 't_ntv': 0.5602622187579982, 't_fib': 0.046256083267508075, 'w_line': 32000, 'w_plane': 800, 'w_fib': 32000}
{'t': 4, 'side': 20, 'vol': 1280000, 'r': 61, 'level': 1, 'pts': 20981.25, 'expected': 20983.60655737705, 'slices': 800.0, 'nodes': 0.0, 'recall': 0.6770926422400954, 't_line': 0.011571323004318401, 't_plane': 0.02527226074016653, 't_ntv': 0.12832348956726491, 't_fib': 0.026491916738450527, 'w_line': 32000, 'w_plane': 800, 'w_fib': 800}
{'t': 4, 'side': 20, 'vol': 1280000, 'r': 509, 'level': 1, 'pts': 2516.75, 'expected': 2514.734774066798, 'slices': 800.0, 'nodes': 0.0, 'recall': 0.9474520711234727, 't_line': 0.007958031288580969, 't_plane': 0.006717885524267331, 't_ntv': 0.04056369801401161, 't_fib': 0.006781229050830007, 'w_line': 32000, 'w_plane': 800, 'w_fib': 800}
{'t': 4, 'side': 20, 'vol': 1280000, 'r': 4001, 'level': 2, 'pts': 318.0, 'expected': 319.92001999500127, 'slices': 20.0, 'nodes': 1187.0, 'recall': 0.9968553459119497, 't_line': 0.007657343725441024, 't_plane': 0.003538906021276489, 't_ntv': 0.012974271026905626, 't_fib': 0.0010273329680785537, 'w_line': 32000, 'w_plane': 800, 'w_fib': 20}
